slug	version	fichier	sha512	role	type
do-a-barrel-roll	3.7.3+1.21-fabric	do_a_barrel_roll-fabric-3.7.3+1.21.jar	664cb4d13b9963f6574381ec6c4f1dcfe9245f2afdfafcd89a2f1c7708d46592fbe8f6aeca18f231eaacae27e4a5eca569619fd2a7690a536a176c1de82ddf9c	candidat	release
dramatic-doors	1.21.1-3.3.2	DramaticDoors-NeoQuiFab-1.21.1-3.3.2.jar	ed5b4b1efb01611cd3f15e883b3ef65e2f6b09c616e7b827d933fffc8252d13c08455ffb918bc6899d20c19c4f91bb3897c662950ab76b4fb84f6a48e4dbc611	candidat	release
dungeons-and-taverns	v4.4.4+mod	dungeons-and-taverns-v4.4.4.jar	ceeaaa41bafeb23d54abb498a4291b1905a53b6b3d17d14d892e9fa0d81cd56275c5edfdc999910520547939a17c1884d4553543d5aaafcf2295fb818cadba01	candidat	release
easy-anvils	v21.1.0-1.21.1-Fabric	EasyAnvils-v21.1.0-1.21.1-Fabric.jar	cf9eda6d27ac9155c83140b1b931a3048a2e81da63957423c5a2958342c58c315d17c5c3730f3f952ef19e4e3632741cee4ef9605c476b8c82b06d60190ee6a1	candidat	release
easy-magic	v21.1.4-1.21.1-Fabric	EasyMagic-v21.1.4-1.21.1-Fabric.jar	46927747f1867a152cb291bd76a8e013cf1cd0821663614f9d737c704743fe4c356aff6fb7cbcc3e8c425d964678631fab8afdd2b26cda5f577b6a3cc9160a5a	candidat	release
emotecraft	2.4.12+1.21.1-fabric	emotecraft-for-MC1.21.1-2.4.12-fabric.jar	c5b7211468e657c321e574f5179547407ad6a4d82c290dc747fde500e2c3b4e8b49bff1ea95da4ff2111e228c86edf72d6ceb084fbb9c2ec01f3d6d7c7424ae0	candidat	release
enchants-plus	1.6B	Enchants+ 1.21 - 1.21.1 fabric-forge.jar	41a60887c165bb438058de8f86e10e841ab168b9228dfbe3de90b72a9331c101f818d00df2f300f8e8bd679c468afd4704eec41d0236fb723fd6a87520e7b1b5	candidat	release
enhanced-celestials	6.0.2.6-fabric	Enhanced-Celestials-Fabric-1.21.1-6.0.2.6.jar	d80a4e47b4abcf9d43747d84c2231511cbb249a0d144f5785335c412669fffa6e068511aba5afc18f583b105a9beee3b9229dc8d6ac1c80b9581e34ad538d868	candidat	release
explorers-compass	1.21.1-2.6.0-fabric	ExplorersCompass-1.21.1-2.6.0-fabric.jar	134501d97f0c264e609a67a8416dbae7bb5dc7f8e11f82b8130efd7ea0cedc6f3be153f0f61b2c503e5ea1efd4734a12c6edfa922503a94981565adfca8b2402	candidat	release
explorify	v1.6.5	Explorify v1.6.5.mod.jar	9b22adeb1952ec25856e160b93aaa41934fd41e8d1aef985317cb2c9d64aae1012e134e23f52ba39fac3a98b3309b60f0b55b98a4db4de1731960b998117c83e	candidat	release
exposure	1.9.18	exposure-fabric-1.21.1-1.9.18.jar	59db1691fa553bd8628d8c5804d8620a03f71b0743fe3c535a0d2393b096f981844c16a5e70311291c16655a6433b322b7358a2c14440356e451865d563f54d3	candidat	release
fallingtree	1.21.1-1.21.1.11	FallingTree-1.21.1-1.21.1.11.jar	21876b270ca40e3ad6168423f2aba04460f590be191c5558d53e4f542993efa6070589029cb3218557309b096cd920e4da65e53f19687b86c638ec6c342d83e5	candidat	release
farmers-delight-refabricated	1.21.1-3.3.6	FarmersDelight-1.21.1-3.3.6+refabricated.jar	2667773f31494a1f3e8f6adf2308406fd35f5f05572ef23709fd5450489ff85f789a57b036c1650d1b4b292b9b5ca5c93d2d5d8dc0cb686a6c5831ef872b1f5b	candidat	release
ferrite-core	7.0.3-fabric	ferritecore-7.0.3-fabric.jar	3ad31620fac4ff44327dc7dedbe162b2d978f3f246dc16255a6e400ce9592a0d326fe36a626f3c1bf30a11f813093cbb4dcc107af039cff724d0cdf648541fdf	candidat	release
friends-and-foes	fabric-4.0.27+mc1.21.1	friendsandfoes-fabric-4.0.27+mc1.21.1.jar	aebc5b657da41816df17d6994bfe46d9fcd0d1157dc626a04de7ffada3dc010c1f262d9fe2ff9d55f9d86d0a07349700e3310d35c1892fd0dcdb39004e4f6f3b	candidat	release
galosphere	1.21.1-1.5.4	Galosphere-1.21.1-1.5.4-Fabric.jar	db0390a6c5cf21d218ffec006732039f119006b0ade5bfe916026bb88dc810a74afea834ee0f7af91310896286a6ca43142203b48aa55a2493ab77540e38f9a4	candidat	release
grind-enchantments	4.0.0+1.21.1	grind-enchantments-4.0.0+1.21.1.jar	a6290f8b2a7546d4910389d619937f6e435f731cb206e23baf6888c690ae661d6bca62c26a4af37e26a1e89910c3a9a087ff7a50af27e0643759ad6b4691e263	candidat	release
handcrafted	4.0.3	handcrafted-fabric-1.21.1-4.0.3.jar	6274aa51bec1076faf9eef9783c676ab2a12cd87eaf9beb72258c50bf0478d702d9ea6a21e8f1fa6e4ba5084698f0aa0f7edcfe631d64b683c23e4db884c187f	candidat	release
hardcore-revival	21.1.22+fabric-1.21.1	hardcorerevival-fabric-1.21.1-21.1.22.jar	21c8e76fec145e361b517145f3047b1e055f693403f9f9d5e09978d71d95153bd552a98275fc8f61ee4ef3e0221fafadec43985f082d9d91b49ab5c4ae2aaf77	candidat	release
illager-invasion	v21.1.6-1.21.1-Fabric	IllagerInvasion-v21.1.6-1.21.1-Fabric.jar	e8d805f1c1015dd925f5b925c0b165939ce9ab64469daf0effe8dd58a72e58bf6e1dc0c73361fbdc6c2676b344c823cb07a788d46ad74b4d3e389c2134f1100e	candidat	release
immersive-melodies	0.7.1+1.21.1	immersive_melodies-fabric-0.7.1+1.21.1.jar	d382b4efd1731d2a0364df05ceb48c2975f77adf571bdd59f274398b7a69a1df41aba08eaa5646a658f85442d670baaba3fb368b894500d5a27c5ce489743a13	candidat	release
immersive-paintings	0.7.8+1.21.1	immersive_paintings-fabric-1.21.1-0.7.8.jar	e81c3e821292db6f5fca9bdeb3665279fa6c966d480c7c550d861b17609a0f99fbbf1a8ab5069895c76b36e0d585a0b12626c22cb1313358dfa20e2af4b7fabb	candidat	release
incendium	5.4.4	Incendium_1.21.x_v5.4.4.jar	ca897be9059ea691860715dac6c0ccd934720d7d42c8af45b95257e8f91a6c9470f506bfb9ef3c770e6a6c57e58885add2126150a35927848817433fd227ce0e	candidat	alpha
leaves-be-gone	v21.1.1-1.21.1-Fabric	LeavesBeGone-v21.1.1-1.21.1-Fabric.jar	d9b73402b9d97ca5f8192b260cb88b0bce8939537fc2da5a868dfd41df397acd24d24396187539f5e18c49628953bfe6b7bfcfacd82ffc12fc16fe1e33b498dc	candidat	release
lithium	mc1.21.1-0.15.4-fabric	lithium-fabric-0.15.4+mc1.21.1.jar	182064b00e6315e2255b857eaab8eb759e6b042ebd4cc8b855ff0d93f875a5a7188fac49f878d7b29d4ef7e6b6341190ad7f6f6f39f4a6d2c62003468b08e4c6	candidat	release
lootr	1.21.1-1.11.38.125	lootr-fabric-1.21.1-1.11.38.125.jar	ccd2e71e6e47e1bf061b0dfc34ecba67e427561e263486c5f5188331c70c337f72f261b23a59e91d7e15f78b93cb738508a08616b540f7bf54e7ee4c1ba86999	candidat	release
macaws-bridges	3.1.2	mcw-bridges-3.1.2-mc1.21.1fabric.jar	0723d95096b26558b889936dd5b5322c6944dca315a6ffa400a2f28cc0270e33b9b0d9f5a732259c748565405c510f2b1aca48b6dd042df90bdbf4b94e018ca7	candidat	release
macaws-doors	1.1.5	mcw-doors-1.1.5-mc1.21.1fabric.jar	448606bf83455afe5d45f5d2961b755bac866aa1a8d63a6b16d7e10df57fd7c51e61d9d2a219cc451c7ac13a23f33dc982812d79aa190f94ba470c2cf167bbd5	candidat	release
macaws-roofs	2.3.2	mcw-roofs-2.3.2-mc1.21.1fabric.jar	dd44de51a347a330e5a43db7934680d2b8ff1f2c59bded4ca2ad292f9a1381ef40f3ccc50f3249dd38fcbf0277ab49ec9b456689bde023ce1a08c5a86a32c2e0	candidat	release
macaws-windows	2.4.2	mcw-mcwwindows-2.4.2-mc1.21.1fabric.jar	071f0d8f6af273bbc5ebc5a321d15269efaf1319284bc72af54c6a9247bbea6fa547e9fbce8d0864ad3b4fe3ee9601ef08ff517d138cb772b24341fe82e70eac	candidat	release
